source_file,category,dataset_name,sha256,duplicate_group_id,duplicate_group_size,selected_for_combined,selected_source_file,row_count,unique_original_event_ids,column_count,columns,experiment_count,experiments,notes
significant_splicing_events_rbp - Sqd(1).csv,RBP,Sqd,69c5317aa48cbc781a618f30f754d3570b8e55ce80be68a02b3b6c07ad000c97,DUP016,2,No,significant_splicing_events_rbp - Sqd.csv,162,162,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Sqd,Exact duplicate group; only the selected source was included in the combined event tables.
significant_splicing_events_rbp - Sqd.csv,RBP,Sqd,69c5317aa48cbc781a618f30f754d3570b8e55ce80be68a02b3b6c07ad000c97,DUP016,2,Yes,significant_splicing_events_rbp - Sqd.csv,162,162,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Sqd,Exact duplicate group; only the selected source was included in the combined event tables.
significant_splicing_events_rbp - Sxl.csv,RBP,Sxl,3e3bf351ed14c5d23c60b6de2f5cc9a05c6b1602505cf2ee03e3f2b33537ed4b,DUP008,1,Yes,significant_splicing_events_rbp - Sxl.csv,303,303,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Sxl,
significant_splicing_events_rbp - Syp.csv,RBP,Syp,ba9bfa06819b05d63dc1777839c8518e08dda5b219f2da8a8f55821d913a223d,DUP029,1,Yes,significant_splicing_events_rbp - Syp.csv,191,191,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Syp,
significant_splicing_events_rbp - TBPH.csv,RBP,TBPH,0a617cef4570a5bc69015fca80a8eea894e79d668e37c609a7ff5a5012243360,DUP002,1,Yes,significant_splicing_events_rbp - TBPH.csv,154,154,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,TBPH,
significant_splicing_events_rbp - U2af50.csv,RBP,U2af50,4f576d40b35bc49db9cfed0fa543a521f9dd11e84acfc3ab3d42ad2d878a5ef5,DUP011,1,Yes,significant_splicing_events_rbp - U2af50.csv,533,533,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,U2af50,
significant_splicing_events_rbp - caz.csv,RBP,caz,dfea1c8fd46dbaef0ff421bbc46ff3396c43a23dbc8c2e5ba20ce8d15ccc33ff,DUP035,1,Yes,significant_splicing_events_rbp - caz.csv,231,231,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,caz,
significant_splicing_events_rbp - eIF4H1.csv,RBP,eIF4H1,718a6547614e0ed1cf53ccfd13b5a42cdb9d3dd4938ef41e9e1376bd78542547,DUP017,1,Yes,significant_splicing_events_rbp - eIF4H1.csv,178,178,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,eIF4H1,
significant_splicing_events_rbp - mettl3 (1)(1).csv,RBP,METTL3,c178740404609961797e5bbef9bf96b7e9733753c1b51749d79d809ece34e9af,DUP030,5,No,significant_splicing_events_rbp - mettl3.csv,1153,901,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,6,DaGal4_34day | DaGal4_5day | ElavGal4_34day | ElavGal4_5day | RepoGal4_34day | RepoGal4_5day,Exact duplicate group; only the selected source was included in the combined event tables. Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - mettl3 (1).csv,RBP,METTL3,c178740404609961797e5bbef9bf96b7e9733753c1b51749d79d809ece34e9af,DUP030,5,No,significant_splicing_events_rbp - mettl3.csv,1153,901,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,6,DaGal4_34day | DaGal4_5day | ElavGal4_34day | ElavGal4_5day | RepoGal4_34day | RepoGal4_5day,Exact duplicate group; only the selected source was included in the combined event tables. Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - mettl3 (2)(1).csv,RBP,METTL3,c178740404609961797e5bbef9bf96b7e9733753c1b51749d79d809ece34e9af,DUP030,5,No,significant_splicing_events_rbp - mettl3.csv,1153,901,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,6,DaGal4_34day | DaGal4_5day | ElavGal4_34day | ElavGal4_5day | RepoGal4_34day | RepoGal4_5day,Exact duplicate group; only the selected source was included in the combined event tables. Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - mettl3 (2).csv,RBP,METTL3,c178740404609961797e5bbef9bf96b7e9733753c1b51749d79d809ece34e9af,DUP030,5,No,significant_splicing_events_rbp - mettl3.csv,1153,901,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,6,DaGal4_34day | DaGal4_5day | ElavGal4_34day | ElavGal4_5day | RepoGal4_34day | RepoGal4_5day,Exact duplicate group; only the selected source was included in the combined event tables. Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - mettl3.csv,RBP,METTL3,c178740404609961797e5bbef9bf96b7e9733753c1b51749d79d809ece34e9af,DUP030,5,Yes,significant_splicing_events_rbp - mettl3.csv,1153,901,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,6,DaGal4_34day | DaGal4_5day | ElavGal4_34day | ElavGal4_5day | RepoGal4_34day | RepoGal4_5day,Exact duplicate group; only the selected source was included in the combined event tables. Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - mod (1).csv,RBP,mod,e7b4af572488fc07af5f4d866630799af0c4d686580e4410bf9f57cbe86f901a,DUP036,1,Yes,significant_splicing_events_rbp - mod (1).csv,365,365,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,brain,
significant_splicing_events_rbp - prp19.csv,RBP,prp19,467c64dc00298403d5ddfd0aec909415987c62603aeaf7fb855bd272c69d9cf8,DUP010,1,Yes,significant_splicing_events_rbp - prp19.csv,1201,1201,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,prp19,
Ray Lab Data - 3d_significant.csv,AGE_SEX,3d,0d1be8bed10c0765b51202fa8b63dcf8c60d2e5da9746c3eea0bfa810b8d4b95,DUP003,1,Yes,Ray Lab Data - 3d_significant.csv,463,,28,comparison | age | event_type | Significant | direction | ID | GeneID | geneSymbol | chr | strand | exonStart_0base | exonEnd | upstreamES | upstreamEE | downstreamES | downstreamEE | ID.1 | IJC_SAMPLE_1 | SJC_SAMPLE_1 | IJC_SAMPLE_2 | SJC_SAMPLE_2 | IncFormLen | SkipFormLen | PValue | FDR | IncLevel1 | IncLevel2 | IncLevelDifference,0,,
Ray Lab Data - 6d_significant.csv,AGE_SEX,6d,2a03afd30c5fe86748a7a798b1919c9c79f3b37d69243d9babf1cecb8b44ced2,DUP006,1,Yes,Ray Lab Data - 6d_significant.csv,490,,28,comparison | age | event_type | Significant | direction | ID | GeneID | geneSymbol | chr | strand | exonStart_0base | exonEnd | upstreamES | upstreamEE | downstreamES | downstreamEE | ID.1 | IJC_SAMPLE_1 | SJC_SAMPLE_1 | IJC_SAMPLE_2 | SJC_SAMPLE_2 | IncFormLen | SkipFormLen | PValue | FDR | IncLevel1 | IncLevel2 | IncLevelDifference,0,,
Ray Lab Data - 9d_significant.csv,AGE_SEX,9d,de062c71aa5996076f81567e08b590e48e73f510db466598124e5cf57aa18375,DUP034,1,Yes,Ray Lab Data - 9d_significant.csv,525,,28,comparison | age | event_type | Significant | direction | ID | GeneID | geneSymbol | chr | strand | exonStart_0base | exonEnd | upstreamES | upstreamEE | downstreamES | downstreamEE | ID.1 | IJC_SAMPLE_1 | SJC_SAMPLE_1 | IJC_SAMPLE_2 | SJC_SAMPLE_2 | IncFormLen | SkipFormLen | PValue | FDR | IncLevel1 | IncLevel2 | IncLevelDifference,0,,
