TF,Regulator,TF_events,Regulator_events,Shared_exact_events,Jaccard_similarity,Percent_of_TF_events,Percent_of_regulator_events
Dsx,Imp,175,146,4,0.012618296529968454,2.2857142857142856,2.73972602739726
Dsx,Fmr1,175,244,5,0.012077294685990338,2.857142857142857,2.0491803278688523
Dsx,Orb2,175,250,5,0.011904761904761904,2.857142857142857,2.0
Dsx,Set1,175,83,3,0.011764705882352941,1.7142857142857142,3.6144578313253013
Dsx,U2af50,175,533,8,0.011428571428571429,4.571428571428571,1.5009380863039399
BEAF-32,TBPH,204,154,4,0.011299435028248588,1.9607843137254901,2.5974025974025974
vvl,Set1,670,83,8,0.010738255033557046,1.1940298507462686,9.63855421686747
Ubx,Set1,822,83,9,0.010044642857142858,1.094890510948905,10.843373493975903
Dsx,Rin,175,131,3,0.009900990099009901,1.7142857142857142,2.2900763358778624
Sox14,Set1,1330,83,13,0.009285714285714286,0.9774436090225563,15.662650602409638
BEAF-32,CG1316,204,353,5,0.009057971014492754,2.450980392156863,1.4164305949008498
BEAF-32,Rin,204,131,3,0.009036144578313253,1.4705882352941178,2.2900763358778624
Repo,TBPH,296,154,4,0.008968609865470852,1.3513513513513513,2.5974025974025974
BEAF-32,mod,204,365,5,0.008865248226950355,2.450980392156863,1.36986301369863
BEAF-32,eIF4H1,204,178,3,0.0079155672823219,1.4705882352941178,1.6853932584269662
Dsx,Nelf-E,175,495,5,0.007518796992481203,2.857142857142857,1.0101010101010102
vvl,Imp,670,146,6,0.007407407407407408,0.8955223880597015,4.109589041095891
CLAMP,Imp,408,146,4,0.007272727272727273,0.9803921568627451,2.73972602739726
Repo,Imp,296,146,3,0.00683371298405467,1.0135135135135136,2.0547945205479454
BEAF-32,Fmr1,204,244,3,0.006741573033707865,1.4705882352941178,1.2295081967213115
Ubx,Imp,822,146,6,0.006237006237006237,0.7299270072992701,4.109589041095891
Dsx,ISWI,175,178,2,0.005698005698005698,1.1428571428571428,1.1235955056179776
BEAF-32,Rbp6,204,244,2,0.004484304932735426,0.9803921568627451,0.819672131147541
Dsx,Hrb87F,175,180,1,0.002824858757062147,0.5714285714285714,0.5555555555555556
BEAF-32,Set1,204,83,0,0.0,0.0,0.0
